Mirik36,0.02108586,BTC,11525825671738077184,Tinkoff,1692378878
Treyders,0.00149702,BTC,11514888186684174336,Monobank,1692378884
SmartOTC,0.22908818,BTC,11456292625449938944,SEPA Instant,1692378885
allsb,0.02497502,BTC,11521015171004076032,QIWI,1692378934
PROFITonly,0.04444102,BTC,11525901838181093376,RosBank,1692378990
Lemacoin,0.00293405,BTC,11442141636701687808,SEPA Instant,1692379044
IBEROGESTION,0.00125937,BTC,11506809830280679424,Zinli,1692379078
Awesome,0.01531749,BTC,11525490994475245568,Þmoney,1692379385
Den-P2P,0.02584827,BTC,11513032995287801856,Raiffeisenbank,1692379499
_Broker535,0.22797513,BTC,11488173255010091008,Tinkoff,1692379555
CryptoGlobe_EXCHANGE,0.00086179,BTC,11516222212358320128,Perfect Money,1692379558
EBTCPRO,0.00155464,BTC,11504718848741502976,Monobank,1692379568
WarXtreme,0.00240852,BTC,11519828677220810752,Banco Pichincha,1692379665
trader_pk786,0.00746939,BTC,11520140489418280960,Wise,1692379665
kukub,0.05774842,BTC,11518176450125672448,A-Bank,1692379779
Evermode,0.09858036,BTC,11455233626794643456,ZEN,1692379834
PhoenixTrade,0.00497896,BTC,11511049272788713472,Tinkoff,1692379838
dominoryadom13,0.00327049,BTC,11525891468430946304,Tinkoff,1692379838
CryptoBank,0.02443447,BTC,11420817734698242048,MTS-Bank,1692379838
altair,0.00294735,BTC,11525455420747886592,RosBank,1692380009
dominoryadom13,0.00129422,BTC,11525891468430946304,Tinkoff,1692380066
GoldTrade,0.02626326,BTC,11518574477872300032,Wise,1692380198
GoldTrade,0.02997601,BTC,11518924221374156800,Privat Bank (Universal Card),1692380201
GoldTrade,0.04200000,BTC,11518561540069195776,Wise,1692380204
Vika,0.00658872,BTC,11518186123231727616,Privat Bank (Universal Card),1692380255
JawaCoin,0.01331189,BTC,11452737598507630592,SEPA (EU) bank transfer,1692380309
PRO100ÎÁÌÅÍ_ViP,0.05565571,BTC,11518144668310630400,Bank Transfer,1692380360
Opponent,0.00299700,BTC,11525024706559725568,Raiffeisenbank,1692380405
Lucian213,0.02437824,BTC,11525692716919316480,Tinkoff,1692380405
Yanisblk01,0.02500249,BTC,11516520476832669696,Wise,1692380411
-AuruM-,0.00679976,BTC,11518183458309386240,Monobank,1692380465
PROFITonly,0.01897308,BTC,11525901838181093376,RosBank,1692380518
nikturev,0.03002247,BTC,11515308377410232320,Raiffeisenbank,1692380518
Sergo7_,0.02669849,BTC,11525540846944444416,Raiffeisenbank,1692380688
TS_Cartel,0.10758059,BTC,11516669338892664832,RosBank,1692380744
Stanimur,0.10204740,BTC,11514227703999479808,Advcash,1692380744
brokercracker,0.28003041,BTC,11508890822314655744,Tinkoff,1692380858
P2P_Mama,0.00780416,BTC,11523678481133518848,Tinkoff,1692380914
DimaMoki,0.00376557,BTC,11525908653062823936,Tinkoff,1692380971
Techno,0.44661510,BTC,11484241994271150080,RosBank,1692380971
nikturev,0.02665534,BTC,11515308377410232320,Raiffeisenbank,1692380971
Treyders,0.00125723,BTC,11514888186684174336,Monobank,1692380992
_Broker535,0.01963566,BTC,11488173255010091008,Tinkoff,1692381198
Montana0701,0.40184171,BTC,11502920046900101120,SEPA (EU) bank transfer,1692381205
NobleDigital,4.00000000,BTC,11525752606665977856,SEPA Instant,1692381205
PROFITonly,0.00310007,BTC,11525901838181093376,RosBank,1692381424
NobleDigital,3.98200000,BTC,11525912143799463936,SEPA Instant,1692381468
FastChange,0.00762117,BTC,11523516941889306624,Post Bank,1692381481
,0.00032876,BTC,11525902314090147840,Raiffeisenbank,1692381537
Raisin23,0.01802229,BTC,11525820081929691136,RosBank,1692381537
PALLITET159rus,0.00058250,BTC,11524248297363533824,Renaissance Credit Bank,1692381537
Koriun,0.00119266,BTC,11525858649468125184,Monobank,1692381572
Sigmund,0.00230860,BTC,11522599400692940800,Tinkoff,1692381594
xuligan13_97,0.00140363,BTC,11525910480591474688,RosBank,1692381651
EagleExchange,0.33005221,BTC,11483979355467657216,Tinkoff,1692381707
PhoenixTrade,0.15467088,BTC,11511049272788713472,Tinkoff,1692381707
VooDoosh_,0.19119786,BTC,11520168278146650112,Tinkoff,1692381707
_Broker535,0.24759732,BTC,11488173255010091008,Tinkoff,1692381707
,0.00032876,BTC,11525902314090147840,Raiffeisenbank,1692381764
Akbarchiki,0.00052608,BTC,11525904964230111232,Tinkoff,1692381934
Lucian213,0.01785473,BTC,11525692716919316480,Tinkoff,1692381934
chilyvilly98,0.00661079,BTC,11525825606583869440,Monobank,1692382046
PRO100ÎÁÌÅÍ_ViP,0.05130535,BTC,11518144668310630400,Bank Transfer,1692382046
DimaMoki,0.00376557,BTC,11525911153594814464,Tinkoff,1692382048
Yanisblk01,0.02500249,BTC,11516520476832669696,Wise,1692382066
NobleDigital,3.98800000,BTC,11525914332739051520,SEPA Instant,1692382101
NobleDigital,2.21702111,BTC,11525915728514105344,SEPA Instant,1692382154
oorzhakk,0.00099900,BTC,11523271898659741696,RosBank,1692382161
_Broker535,0.23958739,BTC,11488173255010091008,Tinkoff,1692382161
david,0.00216101,BTC,11514879274777751552,PUMB,1692382205
Super crypto,0.08820913,BTC,11357454891461492736,Skrill (Moneybookers),1692382206
Super crypto,0.10000000,BTC,11340053969016553472,ZEN,1692382206
Criptosha29,0.19039854,BTC,11428799760906674176,Tinkoff,1692382273
Abramovkin,0.20984277,BTC,11478775332592218112,Tinkoff,1692382329
TAPACOBA,0.00392925,BTC,11453491855127670784,Þmoney,1692382329
